"Symbol","ISIN","Company","First Listing Date","Face Value","Paid Up Value","Market Lot","Industry"
"TATACHEM","INE092A01019","Tata Chemicals Limited","01-Apr-1999","10","10","1","-"
"RALLIS","INE613A01020","Rallis India Limited","01-Apr-1999","1","1","1","-"
"MTNL","INE153A01019","Mahanagar Telephone Nigam Limited","17-Feb-1999","10","10","1","-"
"ITDCEM","INE686A01026","ITD Cementation India Limited","10-Feb-1999","1","1","1","-"
"ZANDUREALT","INE719A01017","Zandu Realty Limited","03-Feb-1999","100","100","1","-"
"CYBERTECH","INE214A01019","Cybertech Systems And Software Limited","27-Jan-1999","10","10","1","-"
"SKFINDIA","INE640A01023","SKF India Limited","27-Jan-1999","10","10","1","-"
"SOUTHBANK","INE683A01023","The South Indian Bank Limited","08-Dec-1998","1","1","1","-"
"TATAGLOBAL","INE192A01025","Tata Global Beverages Limited","18-Nov-1998","1","1","1","-"
"TATASTEEL","INE081A01012","Tata Steel Limited","18-Nov-1998","10","10","1","-"
"AXISBANK","INE238A01034","Axis Bank Limited","16-Nov-1998","2","2","1","-"
"BRITANNIA","INE216A01022","Britannia Industries Limited","05-Nov-1998","2","2","1","-"
"SINTEX","INE429C01035","Sintex Industries Limited","05-Nov-1998","1","1","1","-"
"CYIENT","INE136B01020","Cyient Limited","30-Sep-1998","5","5","1","-"
"ZEEL","INE256A01028","Zee Entertainment Enterprises Limited","09-Sep-1998","1","1","1","-"
"ARCHIES","INE731A01020","Archies Limited","02-Sep-1998","2","2","1","-"
"ORIENTHOT","INE750A01020","Oriental Hotels Limited","27-Aug-1998","1","1","1","-"
"CUB","INE491A01021","City Union Bank Limited","25-Aug-1998","1","1","1","-"
"LICHSGFIN","INE115A01026","LIC Housing Finance Limited","29-Jul-1998","2","2","1","-"
"J&KBANK","INE168A01041","The Jammu & Kashmir Bank Limited","22-Jul-1998","1","1","1","-"
"TATAMOTORS","INE155A01022","Tata Motors Limited","22-Jul-1998","2","2","1","-"
"TATAINVEST","INE672A01018","Tata Investment Corporation Limited","24-Jun-1998","10","10","1","-"
"HINDPETRO","INE094A01015","Hindustan Petroleum Corporation Limited","17-Jun-1998","10","10","1","-"
"KOTHARIPRO","INE823A01017","Kothari Products Limited","03-Jun-1998","10","10","1","-"
"VEDL","INE205A01025","Vedanta Limited","13-May-1998","1","1","1","-"
"ATUL","INE100A01010","Atul Limited","06-May-1998","10","10","1","-"
"TRIGYN","INE948A01012","Trigyn Technologies Limited","09-Apr-1998","10","10","1","-"
"ASAHIINDIA","INE439A01020","Asahi India Glass Limited","18-Mar-1998","1","1","1","-"
"AMBUJACEM","INE079A01024","Ambuja Cements Limited","18-Feb-1998","2","2","1","-"
"INDUSINDBK","INE095A01012","IndusInd Bank Limited","28-Jan-1998","10","10","1","-"
"MAHAPEXLTD","INE843B01013","Maha Rashtra Apex Corporation Limited","21-Jan-1998","10","10","1","-"
"SUNDARMFIN","INE660A01013","Sundaram Finance Limited","07-Jan-1998","10","10","1","-"
"RCF","INE027A01015","Rashtriya Chemicals and Fertilizers Limited","07-Jan-1998","10","10","1","-"
"ANTGRAPHIC","INE414B01021","Antarctica Limited","31-Dec-1997","1","1","1","-"
"GMDCLTD","INE131A01031","Gujarat Mineral Development Corporation Limited","17-Dec-1997","2","2","1","-"
"CORPBANK","INE112A01023","Corporation Bank","01-Dec-1997","2","2","1","-"
"JAICORPLTD","INE070D01027","Jai Corp Limited","26-Nov-1997","1","1","1","-"
"JAINSTUDIO","INE486B01011","Jain Studios Limited","19-Nov-1997","10","10","1","-"
"RANEHOLDIN","INE384A01010","Rane Holdings Limited","24-Sep-1997","10","10","1","-"
"ICICIBANK","INE090A01021","ICICI Bank Limited","17-Sep-1997","2","2","1","-"
"ENGINERSIN","INE510A01028","Engineers India Limited","20-Aug-1997","5","5","1","-"
"ADROITINFO","INE737B01033","Adroit Infotech Limited","13-Aug-1997","10","10","1","-"
